426;14;Муж на час;выкорчивать пень
429;14;Муж на час;выкорччпчивать пень
475;10;Электрик;не работает розетка в коридоре
573;13;Ремонт компьютеров;рейтинг нулевой
617;13;Ремонт компьютеров;пробный заказ на новой версии
647;10;Электрик;знакомая обстановка)))
650;13;Ремонт компьютеров;пуш есть или нет на горячий заказ
651;13;Ремонт компьютеров;покрасить намордник у собаки
655;14;Муж на час;починить швабру
664;13;Ремонт компьютеров;сделать рекламу на окна
670;13;Ремонт компьютеров;оплатить счёт в теле2, абонплату номера
735;9;Уборка помещений;убрать трекомнатную квартиру
736;9;Уборка помещений;убрать котедж три уровня
744;4;Сантехник;заменить лейку ,  заменить аэраторы на кранах
756;10;Электрик;найти короткое замыкание
758;9;Уборка помещений;убрать котедж
759;9;Уборка помещений;убрать котедж
801;9;Уборка помещений;убрать двушку
809;4;Сантехник;поменять лампочки в спот освещении, встроенных в гипсокартон 
819;10;Электрик;поменять люстру
831;4;Сантехник;Врезка водопровода в пластиковую трубу Д100 мм. Работы внутри колодца на территории частного участка. Установка обратного клапана, вентилей, водомерного счётчика. сегодня, завтра или послезавтра. просьба к исполнителям установить примерную стоимость 
832;4;Сантехник;Врезка водопровода в пластиковую трубу Д100 мм. Работы внутри колодца на территории частного участка. Установка обратного клапана, вентилей, водомерного счётчика. сегодня, завтра или послезавтра. просьба к исполнителям установить примерную стоимость 
833;4;Сантехник;Врезка водопровода в пластиковую трубу Д100 мм. Работы внутри колодца на территории частного участка. Установка обратного клапана, вентилей, водомерного счётчика. сегодня, завтра или послезавтра. просьба к исполнителям установить примерную стоимость 
847;10;Электрик;починить вытяжку в детском саду. при включении искрит, шумит и воняет.
853;9;Уборка помещений;уборка квартиры, глажка
854;9;Уборка помещений;убрать квартиру, погладить бельё. Аль-Фараби/ Розыбакиева. сегодня. цена договорная
858;10;Электрик;замыкает люстра, не работают патроны. и есть боковые светильники, оторвались цепочки включения. сегодня после семи, центр города.
871;10;Электрик;Гагарина/Толе би, монтаж 3 точек на кухне. 
872;10;Электрик;замена выключателя, дандосова/розыбакиева
874;10;Электрик;Абая/ Баумана, переустановить настенный нагреватель, починить светильник на лестнице и установить светильник в ванной.
877;4;Сантехник;повесть люстру. заказ на субботу, но договориться нужно сейчас
882;10;Электрик;жарокова/водозаборная, нет света в квартире, у соседей есть
891;4;Сантехник;платяной шкаф, поменять зеркало
894;10;Электрик;повесить люстру, Мамыр 4
